epoch,stage,lr,train_loss,train_mse,train_kl,val_loss,val_mse,val_kl,PLCC,SROCC,KROCC,Aggregate,time_seconds
27,2,4.5515762378755836e-05,0.4317752242088318,0.3850792190858296,0.025041019304522447,0.332974037528038,0.30586394630372526,0.020415811683051288,0.8732,0.8881,0.7153,2.4766,30.83909511566162
28,2,4.5021725229689665e-05,0.4299327671527863,0.39144008542810166,0.019605168387559907,0.31605666056275367,0.2891583118587732,0.02064964361488819,0.8784,0.8931,0.7219,2.4934,33.97615838050842
29,2,4.450492662225829e-05,0.36336611488035747,0.3223275282553264,0.02292226129876716,0.3014953315258026,0.2746543902903795,0.02143427445553243,0.8828,0.8968,0.7293,2.5089,30.80367159843445
30,2,4.396596912052035e-05,0.3947274176137788,0.3548503374414785,0.029083693080714772,0.2903640754520893,0.26363000087440014,0.022533671278506518,0.8865,0.9018,0.7373,2.5256,30.420066118240356
31,2,4.340548112481404e-05,0.41822626452360834,0.3773589736116784,0.024612029881349633,0.28082662001252173,0.2544325668364763,0.02135840377304703,0.89,0.9068,0.7448,2.5417,30.983161449432373
32,2,4.2824116139070415e-05,0.39586909115314484,0.3529479007635798,0.022848622966557743,0.2741119809448719,0.247951103374362,0.019930982124060394,0.8926,0.9091,0.7493,2.551,30.882500171661377
33,2,4.222255200885703e-05,0.35614011032240733,0.3132689220564706,0.025399868336639233,0.26802731975913047,0.24199831411242484,0.018814958399161696,0.8957,0.9117,0.7535,2.5609,30.70185089111328
34,2,4.1601490131040324e-05,0.3639430228088583,0.3231923598263945,0.018872324816350428,0.263835309445858,0.23798929564654828,0.017926872754469515,0.8988,0.9155,0.7589,2.5733,30.663552284240723
35,2,4.096165463598829e-05,0.3276211564029966,0.2916990258863994,0.021349867027519006,0.2592297367751598,0.2335898745805025,0.01684289814438671,0.9022,0.9172,0.7612,2.5806,30.505646228790283
36,2,4.0303791543266814e-05,0.38681171014904975,0.34752383338553566,0.022280411402295742,0.25500016659498215,0.22951173223555088,0.01583791240118444,0.9053,0.9206,0.7665,2.5924,31.098729848861694
37,2,3.9628667891814236e-05,0.35729785412549975,0.3183180928230286,0.025300115792612946,0.25036007910966873,0.22501685805618762,0.014484090730547905,0.908,0.9222,0.7687,2.599,30.614400386810303
38,2,3.89370708456083e-05,0.3706462400300162,0.3307193872119699,0.02104250542553408,0.24663084968924523,0.22143249288201333,0.013487162860110402,0.9105,0.9238,0.771,2.6053,30.541703701019287
39,2,3.822980677586811e-05,0.3329620643385819,0.29412857836910655,0.01805437692174954,0.24106089398264885,0.21596367917954923,0.012479033274576067,0.9136,0.9252,0.7737,2.6125,30.640227556228638
40,2,3.750770032086142e-05,0.3319879338145256,0.29113427847623824,0.027520488661580852,0.235904448479414,0.21092182584106922,0.011313241277821361,0.9164,0.9269,0.7761,2.6194,31.99711298942566
41,2,3.6771593424413224e-05,0.3190570590751512,0.28253663597362383,0.017015917958425626,0.22992271929979324,0.20509948395192623,0.009958327375352382,0.9189,0.9283,0.7786,2.6258,33.74399995803833
